NC_000913.3 	CDS 	1 	+ 	336 	2799 	
NC_000913.3 	CDS 	1 	+ 	7365 	7773 	
NC_000913.3 	CDS 	1 	+ 	12162 	14079 	
NC_000913.3 	CDS 	1 	+ 	15444 	16557 	
NC_000913.3 	CDS 	1 	+ 	18714 	19620 	
NC_000913.3 	CDS 	1 	+ 	20697 	21063 	
NC_000913.3 	CDS 	1 	+ 	25206 	25701 	
NC_000913.3 	CDS 	1 	+ 	30816 	34038 	
NC_000913.3 	CDS 	1 	+ 	34299 	34695 	
NC_000913.3 	CDS 	1 	+ 	35445 	35904 	
NC_000913.3 	CDS 	1 	+ 	36621 	36981 	
NC_000913.3 	CDS 	1 	+ 	39144 	39519 	
NC_000913.3 	CDS 	1 	+ 	39669 	40023 	
NC_000913.3 	CDS 	1 	+ 	42366 	43173 	
NC_000913.3 	CDS 	1 	+ 	51159 	51546 	
NC_000913.3 	CDS 	1 	+ 	54045 	54570 	
NC_000913.3 	CDS 	1 	+ 	57363 	58179 	
NC_000913.3 	CDS 	1 	+ 	58473 	59124 	
NC_000913.3 	CDS 	1 	+ 	60363 	60855 	
NC_000913.3 	CDS 	1 	+ 	60921 	61299 	
NC_000913.3 	CDS 	1 	+ 	62775 	63171 	
NC_000913.3 	CDS 	1 	+ 	67812 	68646 	
NC_000913.3 	CDS 	1 	+ 	70335 	71265 	
NC_000913.3 	CDS 	1 	+ 	79470 	79893 	
NC_000913.3 	CDS 	1 	+ 	80226 	80553 	
NC_000913.3 	CDS 	1 	+ 	82923 	83313 	
NC_000913.3 	CDS 	1 	+ 	85545 	87354 	
NC_000913.3 	CDS 	1 	+ 	89994 	91035 	
NC_000913.3 	CDS 	1 	+ 	93237 	94653 	
NC_000913.3 	CDS 	1 	+ 	97086 	98403 	
NC_000913.3 	CDS 	1 	+ 	100764 	102240 	
NC_000913.3 	CDS 	1 	+ 	119280 	120135 	
NC_000913.3 	CDS 	1 	+ 	122091 	122856 	
NC_000913.3 	CDS 	1 	+ 	125694 	127587 	
NC_000913.3 	CDS 	1 	+ 	127878 	129336 	
NC_000913.3 	CDS 	1 	+ 	137082 	138633 	
NC_000913.3 	CDS 	1 	+ 	140412 	140778 	
NC_000913.3 	CDS 	1 	+ 	144576 	145017 	
NC_000913.3 	CDS 	1 	+ 	145080 	146310 	
NC_000913.3 	CDS 	1 	+ 	146967 	147870 	
NC_000913.3 	CDS 	1 	+ 	164472 	164799 	
NC_000913.3 	CDS 	1 	+ 	168186 	168579 	
NC_000913.3 	CDS 	1 	+ 	170574 	171465 	
NC_000913.3 	CDS 	1 	+ 	173730 	174105 	
NC_000913.3 	CDS 	1 	+ 	174678 	175095 	
NC_000913.3 	CDS 	1 	+ 	189873 	190599 	
NC_000913.3 	CDS 	1 	+ 	196545 	197898 	
NC_000913.3 	CDS 	1 	+ 	200565 	200967 	
NC_000913.3 	CDS 	1 	+ 	200970 	201996 	
NC_000913.3 	CDS 	1 	+ 	204492 	205089 	
NC_000913.3 	CDS 	1 	+ 	205125 	208608 	
NC_000913.3 	CDS 	1 	+ 	208620 	209580 	
NC_000913.3 	CDS 	1 	+ 	209856 	210396 	
NC_000913.3 	CDS 	1 	+ 	214290 	214836 	
NC_000913.3 	CDS 	1 	+ 	215268 	215979 	
NC_000913.3 	CDS 	1 	+ 	218283 	218661 	
NC_000913.3 	CDS 	1 	+ 	221643 	222183 	
NC_000913.3 	CDS 	1 	+ 	240342 	240816 	
NC_000913.3 	CDS 	1 	+ 	241677 	242160 	
NC_000913.3 	CDS 	1 	+ 	242817 	243237 	
NC_000913.3 	CDS 	1 	+ 	244326 	245094 	
NC_000913.3 	CDS 	1 	+ 	246711 	247461 	
NC_000913.3 	CDS 	1 	+ 	250323 	250827 	
NC_000913.3 	CDS 	1 	+ 	252300 	252699 	
NC_000913.3 	CDS 	1 	+ 	252708 	253161 	
NC_000913.3 	CDS 	1 	+ 	264309 	264714 	
NC_000913.3 	CDS 	1 	+ 	266598 	266922 	
NC_000913.3 	CDS 	1 	+ 	276663 	277647 	
NC_000913.3 	CDS 	1 	+ 	278526 	278919 	
NC_000913.3 	CDS 	1 	+ 	283200 	285168 	
NC_000913.3 	CDS 	1 	+ 	286788 	288399 	
NC_000913.3 	CDS 	1 	+ 	309279 	309774 	
NC_000913.3 	CDS 	1 	+ 	320226 	321081 	
NC_000913.3 	CDS 	1 	+ 	323610 	324453 	
NC_000913.3 	CDS 	1 	+ 	332370 	333459 	
NC_000913.3 	CDS 	1 	+ 	336777 	338325 	
NC_000913.3 	CDS 	1 	+ 	340164 	341115 	
NC_000913.3 	CDS 	1 	+ 	341124 	342507 	
NC_000913.3 	CDS 	1 	+ 	344175 	344991 	
NC_000913.3 	CDS 	1 	+ 	348681 	349572 	
NC_000913.3 	CDS 	1 	+ 	354999 	356181 	
NC_000913.3 	CDS 	1 	+ 	359964 	361146 	
NC_000913.3 	CDS 	1 	+ 	364056 	364368 	
NC_000913.3 	CDS 	1 	+ 	368199 	368526 	
NC_000913.3 	CDS 	1 	+ 	368610 	370275 	
NC_000913.3 	CDS 	1 	+ 	371223 	372105 	
NC_000913.3 	CDS 	1 	+ 	372108 	372924 	
NC_000913.3 	CDS 	1 	+ 	386970 	387798 	
NC_000913.3 	CDS 	1 	+ 	406404 	406929 	
NC_000913.3 	CDS 	1 	+ 	407427 	408105 	
NC_000913.3 	CDS 	1 	+ 	417141 	417831 	
NC_000913.3 	CDS 	1 	+ 	418074 	419184 	
NC_000913.3 	CDS 	1 	+ 	422514 	424332 	
NC_000913.3 	CDS 	1 	+ 	425010 	426081 	
NC_000913.3 	CDS 	1 	+ 	429459 	430476 	
NC_000913.3 	CDS 	1 	+ 	434595 	435117 	
NC_000913.3 	CDS 	1 	+ 	435633 	436611 	
